date,num
21.11.2010,381422
22.11.2010,381429
23.11.2010,381429
24.11.2010,381422
25.11.2010,381422
26.11.2010,381429
27.11.2010,381429
28.11.2010,381429
29.11.2010,381422
30.11.2010,381429
01.12.2010,381429
02.12.2010,381429
03.12.2010,381568
04.12.2010,381422
05.12.2010,381561
06.12.2010,375480
07.12.2010,381429
08.12.2010,381429
09.12.2010,381429
10.12.2010,381429
11.12.2010,381429
12.12.2010,381429
13.12.2010,381429
14.12.2010,381429
15.12.2010,381429
16.12.2010,381429
17.12.2010,381429
18.12.2010,381575
19.12.2010,381575
20.12.2010,381575
21.12.2010,381568
22.12.2010,381575
23.12.2010,381575
24.12.2010,381575
25.12.2010,381575
26.12.2010,381575
27.12.2010,381575
28.12.2010,381575
29.12.2010,381575
30.12.2010,381568
31.12.2010,381575
01.01.2011,381575
02.01.2011,381575
03.01.2011,299955
04.01.2011,381575
05.01.2011,381575
06.01.2011,381575
07.01.2011,381561
08.01.2011,344489
09.01.2011,381600
10.01.2011,381600
11.01.2011,381600
12.01.2011,381335
13.01.2011,381429
14.01.2011,381349
15.01.2011,381349
16.01.2011,381429
17.01.2011,381429
18.01.2011,381429
19.01.2011,381429
20.01.2011,381429
21.01.2011,381429
22.01.2011,381429
23.01.2011,381429
24.01.2011,381429
25.01.2011,381429
26.01.2011,381429
27.01.2011,381404
28.01.2011,381310
29.01.2011,381310
30.01.2011,381310
31.01.2011,381296
01.02.2011,381296
02.02.2011,381296
03.02.2011,381303
04.02.2011,381296
05.02.2011,381296
06.02.2011,381296
07.02.2011,381296
08.02.2011,381296
09.02.2011,381296
10.02.2011,381150
11.02.2011,381150
12.02.2011,381150
13.02.2011,381150
14.02.2011,381150
15.02.2011,381150
16.02.2011,381157
17.02.2011,381150
18.02.2011,381157
19.02.2011,381150
20.02.2011,381296
21.02.2011,381296
22.02.2011,381296
23.02.2011,381296
24.02.2011,381296
25.02.2011,381296
26.02.2011,381296
27.02.2011,381303
28.02.2011,381296
01.03.2011,381296
02.03.2011,381296
03.03.2011,381296
04.03.2011,381296
05.03.2011,381296
06.03.2011,381296
07.03.2011,381296
08.03.2011,381296
09.03.2011,381296
10.03.2011,381296
11.03.2011,381296
12.03.2011,381296
13.03.2011,381296
14.03.2011,381296
15.03.2011,381296
16.03.2011,381296
17.03.2011,381296
18.03.2011,381296
19.03.2011,381296
20.03.2011,381296
21.03.2011,381296
22.03.2011,381296
23.03.2011,381296
24.03.2011,381296
25.03.2011,381296
26.03.2011,396917
27.03.2011,365675
28.03.2011,381296
29.03.2011,381296
30.03.2011,381296
31.03.2011,381303
01.04.2011,381296
02.04.2011,381296
03.04.2011,381296
04.04.2011,381296
05.04.2011,381296
06.04.2011,381328
07.04.2011,381328
08.04.2011,0
09.04.2011,137270
10.04.2011,381575
11.04.2011,381575
12.04.2011,381575
13.04.2011,381575
14.04.2011,381575
15.04.2011,381575
16.04.2011,381575
17.04.2011,381575
18.04.2011,381575
19.04.2011,381575
20.04.2011,381575
21.04.2011,381575
22.04.2011,381575
23.04.2011,381568
24.04.2011,381575
25.04.2011,381575
26.04.2011,381568
27.04.2011,240
28.04.2011,0
29.04.2011,177550
30.04.2011,381575
01.05.2011,381575
02.05.2011,240
03.05.2011,213855
04.05.2011,381575
05.05.2011,381575
06.05.2011,381575
07.05.2011,381575
08.05.2011,381575
09.05.2011,301552
10.05.2011,381575
11.05.2011,381568
12.05.2011,381561
13.05.2011,276105
14.05.2011,296775
15.05.2011,381575
16.05.2011,381575
17.05.2011,240
18.05.2011,134090
19.05.2011,94
20.05.2011,125610
21.05.2011,381335
22.05.2011,381415
23.05.2011,381390
24.05.2011,14
25.05.2011,0
26.05.2011,0
27.05.2011,0
